20/09:00:00,255.1
20/09:00:00,255.1
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255
20/09:00:00,255
20/09:00:00,255
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255.05
20/09:00:00,255
20/09:00:01,255.1
20/09:00:01,255.15
20/09:00:01,255.15
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:01,255.15
20/09:00:01,255.15
20/09:00:01,255.1
20/09:00:01,255.15
20/09:00:01,255.15
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:01,255
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255
20/09:00:01,255
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.05
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:01,255.1
20/09:00:02,255.05
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.1
20/09:00:02,255.15
20/09:00:02,255.15
20/09:00:03,255.1
20/09:00:03,255.15
20/09:00:03,255.1
20/09:00:03,255.15
20/09:00:03,255.1
20/09:00:03,255.1
20/09:00:03,255.1
20/09:00:03,255.1
20/09:00:03,255.1
20/09:00:04,255.15
20/09:00:04,255.1
20/09:00:04,255.1
20/09:00:04,255.1
20/09:00:04,255.15
20/09:00:04,255.15
20/09:00:05,255.1
20/09:00:05,255.1
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.2
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:05,255.15
20/09:00:06,255.2
20/09:00:06,255.15
20/09:00:06,255.2
20/09:00:06,255.15
20/09:00:06,255.1
20/09:00:06,255.1
20/09:00:06,255.15
20/09:00:07,255.2
20/09:00:07,255.2
20/09:00:08,255.15
20/09:00:08,255.2
20/09:00:08,255.2
20/09:00:08,255.2
20/09:00:08,255.2
20/09:00:09,255.2
20/09:00:09,255.2
20/09:00:09,255.2
20/09:00:09,255.2
20/09:00:10,255.2
20/09:00:10,255.2
20/09:00:10,255.2
20/09:00:10,255.25
20/09:00:10,255.25
20/09:00:10,255.25
20/09:00:10,255.25
20/09:00:10,255.2
20/09:00:10,255.2
20/09:00:10,255.2
20/09:00:10,255.15
20/09:00:10,255.15
20/09:00:11,255.25
20/09:00:11,255.25
20/09:00:11,255.2
20/09:00:11,255.25
20/09:00:11,255.25
20/09:00:11,255.2
20/09:00:11,255.2
20/09:00:11,255.2
20/09:00:12,255.2
20/09:00:12,255.25
20/09:00:12,255.25
20/09:00:12,255.25
20/09:00:13,255.3
20/09:00:13,255.25
20/09:00:13,255.25
20/09:00:13,255.25
20/09:00:13,255.25
20/09:00:13,255.25
20/09:00:13,255.2
20/09:00:13,255.25
20/09:00:13,255.25
20/09:00:13,255.2
20/09:00:14,255.3
20/09:00:14,255.3
20/09:00:14,255.25
20/09:00:14,255.25
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.25
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.3
20/09:00:15,255.25
20/09:00:16,255.35
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.35
20/09:00:16,255.35
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:16,255.3
20/09:00:17,255.35
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:17,255.3
20/09:00:18,255.35
20/09:00:18,255.4
20/09:00:18,255.35
20/09:00:18,255.4
20/09:00:18,255.35
20/09:00:18,255.35
20/09:00:18,255.35
20/09:00:18,255.4
20/09:00:18,255.35
20/09:00:18,255.35
20/09:00:19,255.45
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.45
20/09:00:19,255.45
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.5
20/09:00:19,255.5
